Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(628, 629]",0.666666667,0.443333333,0.636111111,0.578787879,0.586111111,0.676923077,0.684848485,0.530555556,0.618181818,0.775,0.621212121,0.796969697
"(629, 630]",0.758333333,0.57,0.730555556,0.615151515,0.680555556,0.741025641,0.83030303,0.627777778,0.678787879,0.833333333,0.718181818,0.775757576
"(630, 631]",0.755555556,0.633333333,0.858333333,0.790909091,0.727777778,0.68974359,0.73030303,0.6,0.606060606,0.744444444,0.681818182,0.648484848
"(631, 632]",0.758333333,0.553333333,0.822222222,0.684848485,0.702777778,0.661538462,0.718181818,0.611111111,0.684848485,0.669444444,0.521212121,0.651515152
"(632, 633]",0.58045977,0.527586207,0.709770115,0.686520376,0.715517241,0.687002653,0.768025078,0.583333333,0.63322884,0.724137931,0.517241379,0.677115987
"(633, 634]",0.558333333,0.546666667,0.675,0.551515152,0.688888889,0.579487179,0.742424242,0.533333333,0.563636364,0.794444444,0.578787879,0.733333333
"(634, 635]",0.572222222,0.41,0.869444444,0.548484848,0.655555556,0.646153846,0.806060606,0.541666667,0.484848485,0.733333333,0.539393939,0.857575758
"(635, 636]",0.630555556,0.55,0.791666667,0.551515152,0.694444444,0.641025641,0.772727273,0.483333333,0.748484848,0.630555556,0.666666667,0.806060606
"(636, 637]",0.619444444,0.55,0.811111111,0.390909091,0.561111111,0.551282051,0.733333333,0.502777778,0.651515152,0.827777778,0.8,0.672727273
"(637, 638]",0.686781609,0.406666667,0.622222222,0.521212121,0.588888889,0.525198939,0.652037618,0.627777778,0.621212121,0.747126437,0.774294671,0.787878788
"(638, 639]",0.608333333,0.493103448,0.67816092,0.65830721,0.586206897,0.582051282,0.778787879,0.67816092,0.639498433,0.722222222,0.684848485,0.905956113
"(639, 640]",0.658333333,0.336666667,0.583333333,0.624242424,0.694444444,0.687179487,0.6,0.655555556,0.560606061,0.638888889,0.724242424,0.763636364
"(640, 641]",0.808333333,0.513333333,0.613888889,0.818181818,0.797222222,0.720512821,0.566666667,0.572222222,0.539393939,0.522222222,0.736363636,0.739393939
"(641, 642]",0.733333333,0.48,0.75,0.615151515,0.658333333,0.553846154,0.481818182,0.6,0.781818182,0.688888889,0.560606061,0.627272727
"(642, 643]",0.697222222,0.636666667,0.744444444,0.648484848,0.736111111,0.730769231,0.681818182,0.577777778,0.751515152,0.822222222,0.678787879,0.690909091
"(643, 644]",0.772222222,0.676666667,0.822222222,0.748484848,0.602777778,0.579487179,0.651515152,0.555555556,0.593939394,0.730555556,0.672727273,0.663636364
"(644, 645]",0.747126437,0.679310345,0.772988506,0.570532915,0.632183908,0.655172414,0.510971787,0.623563218,0.573667712,0.738505747,0.626959248,0.576802508
"(645, 646]",0.658333333,0.556666667,0.741666667,0.645454545,0.725,0.661538462,0.36969697,0.508333333,0.657575758,0.733333333,0.590909091,0.778787879
"(646, 647]",0.602777778,0.453333333,0.691666667,0.721212121,0.652777778,0.671794872,0.493939394,0.583333333,0.648484848,0.752777778,0.6,0.76969697
"(647, 648]",0.641666667,0.68,0.627777778,0.718181818,0.802777778,0.692307692,0.603030303,0.633333333,0.712121212,0.736111111,0.554545455,0.703030303
"(648, 649]",0.666666667,0.58,0.833333333,0.609090909,0.744444444,0.692307692,0.790909091,0.675,0.715151515,0.619444444,0.539393939,0.839393939
"(649, 650]",0.588888889,0.45,0.661111111,0.690909091,0.691666667,0.587179487,0.681818182,0.575,0.709090909,0.725,0.572727273,0.754545455
"(650, 651]",0.775862069,0.696551724,0.755747126,0.833855799,0.617816092,0.668435013,0.639498433,0.629310345,0.724137931,0.658045977,0.614420063,0.774294671
"(651, 652]",0.708333333,0.616666667,0.716666667,0.596969697,0.622222222,0.697435897,0.86969697,0.694444444,0.715151515,0.722222222,0.736363636,0.76969697
"(652, 653]",0.65,0.45,0.572222222,0.621212121,0.708333333,0.625641026,0.845454545,0.611111111,0.666666667,0.686111111,0.642424242,0.739393939
"(653, 654]",0.613888889,0.576666667,0.636111111,0.712121212,0.530555556,0.730769231,0.812121212,0.641666667,0.587878788,0.561111111,0.678787879,0.775757576
"(654, 655]",0.538888889,0.553333333,0.552777778,0.781818182,0.605555556,0.676923077,0.696969697,0.575,0.475757576,0.605555556,0.584848485,0.796969697
"(655, 656]",0.561111111,0.656666667,0.694444444,0.712121212,0.625,0.648717949,0.606060606,0.602777778,0.678787879,0.622222222,0.496969697,0.881818182
"(656, 657]",0.666666667,0.6,0.681034483,0.736677116,0.629310345,0.530503979,0.677115987,0.577586207,0.73354232,0.606321839,0.485893417,0.858934169
"(657, 658]",0.688888889,0.4,0.741666667,0.545454545,0.552777778,0.582051282,0.745454545,0.775,0.790909091,0.491666667,0.587878788,0.787878788
"(658, 659]",0.677777778,0.58,0.686111111,0.566666667,0.477777778,0.651282051,0.890909091,0.661111111,0.654545455,0.683333333,0.651515152,0.627272727
"(659, 660]",0.441666667,0.5,0.55,0.581818182,0.591666667,0.694871795,0.693939394,0.719444444,0.590909091,0.783333333,0.651515152,0.621212121
"(660, 661]",0.469444444,0.633333333,0.716666667,0.657575758,0.591666667,0.676923077,0.73030303,0.688888889,0.860606061,0.561111111,0.690909091,0.821212121
"(661, 662]",0.622222222,0.49,0.752777778,0.484848485,0.75,0.764102564,0.796969697,0.644444444,0.760606061,0.808333333,0.748484848,0.842424242
"(662, 663]",0.652298851,0.672413793,0.787356322,0.554858934,0.632183908,0.684350133,0.702194357,0.807471264,0.70846395,0.635057471,0.592476489,0.811912226
"(663, 664]",0.636111111,0.566666667,0.819444444,0.696969697,0.694444444,0.776923077,0.587878788,0.672222222,0.760606061,0.777777778,0.681818182,0.66969697
"(664, 665]",0.658333333,0.473333333,0.761111111,0.545454545,0.7,0.615384615,0.745454545,0.738888889,0.754545455,0.655555556,0.63030303,0.778787879
"(665, 666]",0.569444444,0.54,0.738888889,0.76969697,0.755555556,0.571794872,0.787878788,0.786111111,0.736363636,0.597222222,0.587878788,0.854545455
"(666, 667]",0.636111111,0.55,0.833333333,0.718181818,0.702777778,0.658974359,0.806060606,0.627777778,0.493939394,0.641666667,0.584848485,0.878787879
"(667, 668]",0.694444444,0.55,0.683333333,0.733333333,0.644444444,0.774358974,0.645454545,0.630555556,0.766666667,0.488888889,0.706060606,0.848484848
"(668, 669]",0.709770115,0.562068966,0.738505747,0.63322884,0.724137931,0.633952255,0.793103448,0.57183908,0.68338558,0.600574713,0.648902821,0.824451411
"(669, 670]",0.641666667,0.59,0.802777778,0.557575758,0.691666667,0.523076923,0.687878788,0.619444444,0.821212121,0.438888889,0.651515152,0.715151515
"(670, 671]",0.708333333,0.713333333,0.713888889,0.627272727,0.552777778,0.587179487,0.672727273,0.725,0.672727273,0.680555556,0.624242424,0.678787879
"(671, 672]",0.630555556,0.566666667,0.716666667,0.663636364,0.633333333,0.564102564,0.612121212,0.508333333,0.639393939,0.594444444,0.593939394,0.709090909
"(672, 673]",0.611111111,0.596666667,0.686111111,0.718181818,0.616666667,0.697435897,0.736363636,0.447222222,0.593939394,0.586111111,0.615151515,0.790909091
"(673, 674]",0.697222222,0.56,0.472222222,0.678787879,0.511111111,0.612820513,0.757575758,0.35,0.775757576,0.533333333,0.633333333,0.76969697
"(674, 675]",0.681034483,0.562068966,0.683908046,0.482758621,0.591954023,0.633952255,0.815047022,0.41091954,0.567398119,0.663793103,0.699059561,0.730407524
"(675, 676]",0.661111111,0.476666667,0.819444444,0.578787879,0.580555556,0.643589744,0.721212121,0.588888889,0.560606061,0.580555556,0.527272727,0.660606061
"(676, 677]",0.711111111,0.646666667,0.755555556,0.551515152,0.605555556,0.569230769,0.584848485,0.555555556,0.587878788,0.577777778,0.66969697,0.848484848
"(677, 678]",0.830555556,0.543333333,0.747222222,0.521212121,0.705555556,0.625641026,0.793939394,0.488888889,0.8,0.633333333,0.621212121,0.639393939
"(678, 679]",0.65,0.67,0.688888889,0.618181818,0.65,0.528205128,0.727272727,0.655555556,0.754545455,0.694444444,0.527272727,0.524242424
"(679, 680]",0.608333333,0.666666667,0.644444444,0.387878788,0.805555556,0.715384615,0.836363636,0.658333333,0.803030303,0.777777778,0.618181818,0.596969697
"(680, 681]",0.772988506,0.555172414,0.859195402,0.55799373,0.683908046,0.631299735,0.736677116,0.505747126,0.639498433,0.594827586,0.761755486,0.721003135
"(681, 682]",0.805555556,0.573333333,0.8,0.433333333,0.625,0.561538462,0.472727273,0.508333333,0.509090909,0.608333333,0.754545455,0.736363636
"(682, 683]",0.780555556,0.403333333,0.780555556,0.506060606,0.797222222,0.625641026,0.657575758,0.563888889,0.533333333,0.616666667,0.778787879,0.642424242
"(683, 684]",0.527777778,0.57,0.711111111,0.624242424,0.652777778,0.523076923,0.748484848,0.680555556,0.566666667,0.686111111,0.693939394,0.663636364
"(684, 685]",0.711111111,0.383333333,0.661111111,0.512121212,0.666666667,0.7,0.681818182,0.761111111,0.615151515,0.827777778,0.660606061,0.748484848
"(685, 686]",0.616666667,0.456666667,0.697222222,0.766666667,0.777777778,0.6,0.578787879,0.666666667,0.572727273,0.725,0.548484848,0.715151515
"(686, 687]",0.577586207,0.582758621,0.824712644,0.777429467,0.655172414,0.591511936,0.677115987,0.635057471,0.667711599,0.698275862,0.648902821,0.755485893
"(687, 688]",0.633333333,0.61,0.647222222,0.645454545,0.655555556,0.592307692,0.693939394,0.683333333,0.736363636,0.561111111,0.672727273,0.839393939
"(688, 689]",0.566666667,0.483333333,0.658333333,0.693939394,0.627777778,0.712820513,0.696969697,0.702777778,0.709090909,0.508333333,0.633333333,0.624242424
"(689, 690]",0.572222222,0.61,0.730555556,0.7,0.669444444,0.556410256,0.66969697,0.611111111,0.721212121,0.563888889,0.578787879,0.53030303
"(690, 691]",0.697222222,0.526666667,0.5,0.551515152,0.780555556,0.61025641,0.748484848,0.663888889,0.881818182,0.744444444,0.666666667,0.778787879
"(691, 692]",0.675,0.53,0.502777778,0.639393939,0.691666667,0.828205128,0.718181818,0.600574713,0.742424242,0.730555556,0.636363636,0.724242424
"(692, 693]",0.689655172,0.327586207,0.761494253,0.601880878,0.626436782,0.602122016,0.695924765,0.488888889,0.636363636,0.609195402,0.673981191,0.730407524
