Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(885, 886]",0.655555556,0.590909091,0.724242424,0.802564103,0.757575758,0.786111111,0.754545455,0.7,0.690909091,0.906060606,0.833333333,0.803030303
"(886, 887]",0.744252874,0.739811912,0.70846395,0.671087533,0.827586207,0.844827586,0.836363636,0.778735632,0.436363636,0.948484848,0.866666667,0.712121212
"(887, 888]",0.658602151,0.753665689,0.73313783,0.637717122,0.718475073,0.844086022,0.9,0.85483871,0.642424242,0.839393939,0.633333333,0.56969697
"(888, 889]",0.738505747,0.799373041,0.774294671,0.795755968,0.768025078,0.761494253,0.871473354,0.778735632,0.620689655,0.761755486,0.617241379,0.680250784
"(889, 890]",0.680555556,0.806060606,0.836363636,0.674358974,0.736363636,0.775,0.760606061,0.708333333,0.727272727,0.815151515,0.7,0.784848485
"(890, 891]",0.808333333,0.809090909,0.824242424,0.71025641,0.663636364,0.827777778,0.878787879,0.744444444,0.642424242,0.878787879,0.663333333,0.742424242
"(891, 892]",0.719444444,0.675757576,0.896969697,0.815384615,0.524242424,0.888888889,0.787878788,0.627777778,0.748484848,0.833333333,0.73,0.754545455
"(892, 893]",0.692528736,0.721003135,0.855799373,0.769230769,0.751515152,0.808333333,0.690909091,0.675,0.727272727,0.836363636,0.72,0.721212121
"(893, 894]",0.739247312,0.780058651,0.609970674,0.779156328,0.745454545,0.805555556,0.775757576,0.6,0.754545455,0.760606061,0.813333333,0.806060606
"(894, 895]",0.66954023,0.846394984,0.689655172,0.830238727,0.727272727,0.724137931,0.727272727,0.727011494,0.746081505,0.764890282,0.703448276,0.736677116
"(895, 896]",0.797222222,0.663636364,0.721212121,0.820512821,0.806060606,0.783333333,0.751515152,0.677777778,0.812121212,0.76969697,0.76,0.645454545
"(896, 897]",0.611111111,0.551515152,0.727272727,0.858974359,0.721212121,0.7,0.748484848,0.688888889,0.593939394,0.857575758,0.86,0.66969697
"(897, 898]",0.675,0.621212121,0.827272727,0.769230769,0.709090909,0.702777778,0.778787879,0.711111111,0.754545455,0.875757576,0.85,0.83030303
"(898, 899]",0.632183908,0.689655172,0.965517241,0.519893899,0.712121212,0.813888889,0.690909091,0.758333333,0.636363636,0.860606061,0.86,0.851515152
"(899, 900]",0.583333333,0.624633431,0.914956012,0.506203474,0.66969697,0.925,0.875757576,0.719444444,0.527272727,0.76969697,0.81,0.854545455
