Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(996, 997]",0.036666667,0,0,0.03030303,0.156410256,0.047021944,0,0.052777778,0.045454545,0.133333333,0,0.016666667
"(997, 998]",0.051724138,0,0,0.150470219,0.161803714,0.042424242,0.015673981,0.066091954,0,0.057575758,0,0
"(998, 999]",0.038709677,0,0,0.076246334,0.143920596,0.090909091,0.082111437,0.056451613,0,0.118181818,0,0.006666667
"(999, 1000]",0.072413793,0,0,0.02507837,0.161803714,0.031347962,0.062695925,0.100574713,0,0.087774295,0,0.003448276
"(1000, 1001]",0.043333333,0,0,0.006060606,0.207692308,0.018181818,0.051515152,0.086111111,0,0.078787879,0,0.013333333
"(1001, 1002]",0.053333333,0,0,0.057575758,0.148717949,0.06969697,0.015151515,0.077777778,0,0.106060606,0.003030303,0.013333333
"(1002, 1003]",0.13,0,0,0,0.161538462,0.081818182,0.021212121,0.008333333,0,0.151515152,0,0
"(1003, 1004]",0.048275862,0,0,0.018808777,0.094871795,0.078787879,0.031347962,0.07183908,0,0.151515152,0,0.01
"(1004, 1005]",0.041935484,0,0,0.029325513,0.084880637,0.1,0.032258065,0.091397849,0,0.081818182,0.015151515,0.006666667
"(1005, 1006]",0.103448276,0,0,0.134796238,0.151282051,0.115987461,0.040752351,0.057471264,0,0.12539185,0,0.013793103
"(1006, 1007]",0.123333333,0,0,0.084848485,0.18974359,0.048484848,0.012121212,0.072222222,0.042424242,0.133333333,0.003030303,0.013333333
"(1007, 1008]",0.043333333,0,0,0.118181818,0.125641026,0.051515152,0,0.066666667,0.027272727,0.212121212,0,0.006666667
"(1008, 1009]",0.026666667,0,0,0.106060606,0.187179487,0.106060606,0.057575758,0.075,0.012121212,0.13030303,0,0
"(1009, 1010]",0.044827586,0,0,0.068965517,0.184615385,0.042424242,0.006060606,0.027777778,0,0.096969697,0,0
"(1010, 1011]",0,0,0,0.099706745,0.151193634,0,0.033333333,0.044444444,0.036363636,0.096969697,0.006060606,0.016666667
"(1011, 1012]",0.096551724,0,0,0.10031348,0.1,0,0.009404389,0.100574713,0,0.144200627,0,0
"(1012, 1013]",0.1,0,0,0.066666667,0.156410256,0.042424242,0.03030303,0.077777778,0,0.081818182,0,0
"(1013, 1014]",0.11,0,0,0.051515152,0.133333333,0.042424242,0.021212121,0.047222222,0.015151515,0.090909091,0,0.003333333
"(1014, 1015]",0.1,0,0.006666667,0.127272727,0.133333333,0.163636364,0.045454545,0.072222222,0,0.136363636,0,0.003333333
"(1015, 1016]",0.065517241,0,0,0.078369906,0.087179487,0.042424242,0.015151515,0.086111111,0.024242424,0.212121212,0,0
"(1016, 1017]",0.077419355,0,0,0.102639296,0.120512821,0.054545455,0.036363636,0.083333333,0.036363636,0.151515152,0,0.01
"(1017, 1018]",0.024137931,0,0,0.087774295,0.137931034,0.003134796,0.037617555,0.014367816,0.012539185,0.097178683,0,0.024137931
"(1018, 1019]",0.056666667,0.012121212,0,0.048484848,0.123076923,0.06969697,0.090909091,0.066666667,0.018181818,0.133333333,0.006060606,0.013333333
"(1019, 1020]",0.003333333,0,0,0.103030303,0.141025641,0.060606061,0.024242424,0.063888889,0.009090909,0.160606061,0,0
"(1020, 1021]",0.056666667,0,0,0.121212121,0.197435897,0.039393939,0.042424242,0.094444444,0,0.2,0,0.02
"(1021, 1022]",0.03,0,0,0.068965517,0.174358974,0.054545455,0.027272727,0.066666667,0,0.127272727,0,0.013333333
"(1022, 1023]",0.17,0,0,0.041055718,0.146153846,0.133333333,0.006060606,0.041666667,0.024242424,0.112121212,0,0.006666667
"(1023, 1024]",0.013793103,0,0,0.150470219,0.129973475,0.119122257,0.056426332,0.043103448,0.015673981,0.137931034,0,0.020689655
"(1024, 1025]",0.023333333,0,0,0,0.146153846,0.124242424,0.075757576,0.072222222,0,0.221212121,0,0.02
"(1025, 1026]",0.026666667,0,0,0.078787879,0.128205128,0.090909091,0.054545455,0.033333333,0,0.145454545,0.003030303,0.013333333
"(1026, 1027]",0.126666667,0,0,0.087878788,0.076923077,0.066666667,0.02507837,0.014367816,0,0.215151515,0,0.010344828
"(1027, 1028]",0,0,0,0.057575758,0.074358974,0.066666667,0.002932551,0.032258065,0,0.115151515,0,0.038709677
"(1028, 1029]",0.04,0,0,0.06969697,0.087179487,0.042424242,0,0.038888889,0.003030303,0.096969697,0,0.003448276
